,vid_num,vid_url,SwinBERT Captions,SwinBERT Confidence Scores
0,2748674628,0,a person is sitting on a chair and is looking at the window and there is a window,0.2733270227909088
1,3138328151,0,a woman is holding a baby and the baby is smiling.,0.4706714153289795
2,3682464291,0,a group of young children are sitting on a floor and they are talking.,0.41948527097702026
3,5169503584,0,a woman and a man are making a video of themselves and they are laughing.,0.35497158765792847
4,5434886589,0,a man is sitting on the floor reading a book to a baby.,0.568448007106781
5,5981957671,0,a man and a woman are sitting on a couch playing guitars.,0.6138901114463806
6,7877082996,0,a man is on a surf board and is riding a wave on a wave.,0.3975752592086792
7,8531352726,0,a man is shaving his face while another man is talking.,0.4887426793575287
8,8968804598,0,a group of men are in a gym and they are playing a game of fighting.,0.40648356080055237
9,9181873351,0,a little girl is pushing a toy car around a store.,0.4495939016342163
